ID      nm      lat     lon     countryCode
819827 Razvilka 55.591667 37.740833 RU
524901 Moscow 55.752220 37.615555 RU
2973393 Tarascon 43.805828 4.660280 FR
2986678 Ploufragan 48.491409 -2.794580 FR
683506 Bucharest 44.4323 26.1063 RO
681291 Cluj 46.6494 23.8184 RO
2643743 London 51.5085 -0.1257 GB
2643123 Manchester 53.4809 -2.2374 GB
3054643 Budapest 47.498 19.0399 HU
721239 Eger 47.9026 20.3733 HU
3173435 Milan 45.4643 9.1895 IT
3172394 Naples 40.8333 14.25 IT
264371 Athens 37.9795 23.7162 GR
734077 Thessaloniki 40.6403 22.9439 GR
3117735 Madrid 40.4165 -3.7026 ES
2510911 Seville 37.3824 -5.9761 ES
2950159 Berlin 52.5244 13.4105 DE
2825297 Stuttgart 48.7823 9.177 DE
3067696 Prague 50.088 14.4208 CZ
3078610 Brno 49.1952 16.608 CZ
